X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	KR	realZxx_real	imagZxx_real	realZxy_real	imagZxy_real	realZyx_real	imagZyx_real	realZyy_real	imagZyy_real
-5000	-6000	0.1	-8.91E-06	7.15E-05	0.031824	-0.0350596	-0.0319118	0.0349747	-2.97E-05	-7.23E-05	2.943062413	2.18E-05	2.36E-05	0.0189926	-0.0200185	-0.0190045	0.0200199	-1.65E-05	-1.91E-05
-4000	-6000	0.1	0.00011199	7.54E-05	0.0190047	-0.0199663	-0.0190739	0.0200523	-9.80E-05	-8.73E-05	1.00077995	5.02E-05	3.82E-05	0.0190442	-0.0199963	-0.0190076	0.0200185	-5.71E-05	-4.47E-05
-3000	-6000	0.1	9.44E-06	2.06E-05	0.00878401	-0.008982	-0.0138325	0.0129372	-4.79E-05	-7.05E-05	0.311239107	2.75E-05	2.98E-05	0.0191866	-0.0199486	-0.0190084	0.0200405	-6.09E-05	-4.49E-05
-2000	-6000	0.1	-4.08E-05	1.82E-05	0.0194196	-0.0198969	-0.0189614	0.0200235	-1.49E-05	-6.44E-05	1.002741641	3.79E-06	1.22E-05	0.0192376	-0.0199014	-0.0190235	0.0200297	-1.98E-05	-2.48E-05
-1000	-6000	0.1	9.21E-06	-1.47E-06	0.0193323	-0.0198369	-0.0188751	0.0200285	-6.73E-06	-1.73E-05	0.997040296	4.68E-07	2.45E-06	0.019249	-0.0198993	-0.0190233	0.0200188	-5.08E-06	-6.86E-06
0	-6000	0.1	3.55E-05	-2.48E-06	0.019429	-0.0198595	-0.0189809	0.0199962	-2.94E-06	1.04E-05	1.001967524	2.68E-08	-9.88E-07	0.0192469	-0.0198967	-0.0190233	0.0200188	1.70E-06	2.08E-06
1000	-6000	0.1	5.82E-06	-6.27E-06	0.00883164	-0.00894735	-0.0135227	0.012885	7.36E-06	2.49E-05	0.307085574	-2.24E-06	-5.91E-06	0.0192486	-0.0199032	-0.0190206	0.0200238	1.01E-05	1.41E-05
2000	-6000	0.1	-4.07E-05	-2.92E-05	0.0194091	-0.0199136	-0.0189634	0.020089	6.65E-05	8.23E-05	1.004804296	-1.00E-05	-1.77E-05	0.0192213	-0.0199207	-0.0190155	0.02003	3.60E-05	3.92E-05
3000	-6000	0.1	-1.52E-05	-5.35E-05	0.0192239	-0.0199737	-0.0189278	0.0200513	0.000100803	9.36E-05	1.00137774	-4.54E-05	-3.69E-05	0.0191066	-0.0199877	-0.0189966	0.0200315	8.55E-05	5.13E-05
4000	-6000	0.1	9.47E-06	-7.09E-05	0.0125716	-0.0130334	-0.0189962	0.0184745	-0.000106087	0.000119272	0.629608871	-3.87E-05	-3.39E-05	0.0190059	-0.0200191	-0.0190115	0.0200201	3.48E-05	2.82E-05
5000	-6000	0.1	-1.98E-05	-7.08E-05	0.0189899	-0.0199478	-0.0221109	0.0228692	-1.05E-06	4.17E-05	1.150327705	-1.32E-05	-1.69E-05	0.0189879	-0.0200319	-0.0189964	0.0200133	8.19E-06	1.17E-05
6000	-6000	0.1	-7.29E-05	1.75E-05	0.0189352	-0.0199646	-0.0221748	0.0229579	0.000203803	-6.91E-05	1.152748026	-4.88E-06	-7.02E-06	0.0189896	-0.0200384	-0.0189921	0.0200227	3.11E-06	4.30E-06
7000	-6000	0.1	-0.000199607	6.95E-05	0.0188678	-0.0200273	-0.0190637	0.0200419	0.000170798	-7.17E-05	0.999171756	-1.61E-06	-3.35E-06	0.0189843	-0.0200266	-0.0189927	0.0200298	1.01E-06	1.87E-06
8000	-6000	0.1	9.93E-06	7.59E-05	0.0318879	-0.0352186	-0.0253503	0.0282891	-1.11E-05	1.67E-05	2.369982114	-1.43E-07	-1.17E-06	0.0189831	-0.0200271	-0.0189867	0.0200255	3.86E-08	6.00E-07
9000	-6000	0.1	0.000211193	-5.78E-05	0.0188686	-0.0200216	-0.0190576	0.0200856	-0.000180669	8.48E-05	1.000336998	8.99E-08	-3.41E-07	0.0189831	-0.0200271	-0.0189843	0.0200266	-8.18E-08	1.67E-07
-9000	-3000	0.1	-7.75E-07	1.45E-05	0.0110782	-0.0121302	-0.0190691	0.0201006	1.93E-06	-3.68E-06	0.597790784	-1.44E-07	4.41E-07	0.0189831	-0.0200271	-0.0189858	0.0200224	7.71E-08	-1.42E-07
-8000	-3000	0.1	3.08E-06	8.16E-06	0.0189719	-0.0200466	-0.018994	0.0200259	-4.96E-07	-5.69E-06	1.00037326	-3.11E-10	1.55E-06	0.0189831	-0.0200271	-0.0189909	0.0200235	2.11E-08	-4.74E-07
-7000	-3000	0.1	1.50E-05	1.47E-05	0.0189867	-0.0200396	-0.0190005	0.0199813	-1.33E-05	-6.01E-06	0.999154278	1.39E-06	4.13E-06	0.0189864	-0.0200292	-0.0190043	0.0200206	-6.10E-07	-1.43E-06
-6000	-3000	0.1	1.88E-06	2.63E-05	0.0189364	-0.020002	-0.0241678	0.0245956	1.82E-06	-7.96E-06	1.247019576	4.68E-06	7.69E-06	0.0189825	-0.0200347	-0.0190211	0.0199939	-1.81E-06	-2.54E-06
-5000	-3000	0.1	8.71E-07	4.16E-05	0.0188368	-0.0200186	-0.0191737	0.0198714	1.36E-05	-8.10E-06	0.99530984	8.52E-06	1.47E-05	0.0189938	-0.0200365	-0.0191243	0.0199311	-5.37E-07	-4.61E-06
-4000	-3000	0.1	2.31E-05	7.21E-05	0.0322785	-0.035337	-0.0195776	0.0212627	-2.79E-06	-6.53E-07	1.788780583	1.17E-05	2.07E-05	0.0191576	-0.0200275	-0.0195245	0.0199339	-1.82E-06	-6.18E-06
-3000	-3000	0.1	-7.85E-06	1.78E-05	0.0197141	-0.0200793	-0.0200273	0.0200679	3.38E-06	3.84E-06	0.995870334	-1.19E-06	9.63E-06	0.019874	-0.0201163	-0.0199812	0.0200829	1.84E-06	-1.90E-06
-2000	-3000	0.1	-1.34E-05	-2.00E-06	0.0199177	-0.0199844	-0.0201113	0.0200196	2.68E-05	1.43E-07	0.996051313	-1.88E-06	1.07E-06	0.0200709	-0.0200247	-0.0200709	0.0200247	1.38E-06	-9.53E-07
